fold,model,mae,rmse,r2,spearman,top10_prec
3,elasticnet_home,2.2386,2.7959,-0.0067,,
3,elasticnet_away,2.1454,2.6407,-0.0166,,0.9
3,elasticnet_vs_top6,2.1351,2.6206,-0.0339,,
3,elasticnet_vs_rest,2.2164,2.7606,-0.0021,,0.7375
3,bayesian_ridge,2.1286,2.693,0.0188,0.1382,0.5667
3,bayesian_ridge_home,2.2136,2.7778,0.0063,0.1172,
3,bayesian_ridge_away,2.0441,2.6058,0.01,0.1267,0.9
3,bayesian_ridge_vs_top6,1.9295,2.5893,-0.0094,0.0631,
3,bayesian_ridge_vs_rest,2.2144,2.7365,0.0154,0.1028,0.7208
3,lasso,2.1919,2.7192,-0.0004,,0.5083
3,lasso_home,2.2386,2.7959,-0.0067,,
3,lasso_away,2.1454,2.6407,-0.0166,,0.9
3,lasso_vs_top6,2.1351,2.6206,-0.0339,,
3,lasso_vs_rest,2.2164,2.7606,-0.0021,,0.7375
3,xgb,2.2015,2.7606,-0.0311,0.0581,0.5417
3,xgb_home,2.2517,2.8354,-0.0353,0.0259,
3,xgb_away,2.1515,2.6841,-0.0503,0.088,0.9
3,xgb_vs_top6,1.9563,2.6198,-0.0333,0.0011,
3,xgb_vs_rest,2.3071,2.8191,-0.0449,-0.003,0.7292
3,random_forest,2.2607,2.8154,-0.0724,0.0467,0.5167
3,random_forest_home,2.3129,2.8997,-0.0828,-0.0195,
3,random_forest_away,2.2086,2.7289,-0.0857,0.1097,0.9
3,random_forest_vs_top6,2.0317,2.6679,-0.0716,0.0102,
3,random_forest_vs_rest,2.3593,2.8766,-0.088,-0.0076,0.7167
3,extra_trees,2.234,2.7669,-0.0358,0.109,0.5708
3,extra_trees_home,2.3036,2.8637,-0.0562,0.0156,
3,extra_trees_away,2.1646,2.6669,-0.0369,0.2069,0.9
3,extra_trees_vs_top6,1.995,2.6232,-0.036,0.1233,
3,extra_trees_vs_rest,2.3369,2.8265,-0.0505,0.0431,0.725
3,hist_gb,2.2912,2.9021,-0.1395,0.0146,0.5292
3,hist_gb_home,2.332,2.9587,-0.1274,-0.0011,
3,hist_gb_away,2.2507,2.8446,-0.1797,0.0461,0.9
3,hist_gb_vs_top6,2.0668,2.8304,-0.2061,-0.0751,
3,hist_gb_vs_rest,2.3879,2.9324,-0.1306,-0.0157,0.7083
3,poisson_glm,2.118,2.6989,0.0144,0.1325,0.55
3,poisson_glm_home,2.2148,2.7886,-0.0015,0.0945,
3,poisson_glm_away,2.0216,2.6066,0.0095,0.1331,0.9
3,poisson_glm_vs_top6,1.8728,2.5847,-0.0058,0.0774,
3,poisson_glm_vs_rest,2.2236,2.7467,0.008,0.0849,0.7125
3,fdr_mean,2.3535,3.0758,-0.28,0.0801,0.55
3,fdr_mean_home,2.3786,3.1482,-0.2764,0.0873,
3,fdr_mean_away,2.3286,3.0019,-0.3138,0.0741,0.9
3,fdr_mean_vs_top6,2.22,2.953,-0.3128,0.0545,
3,fdr_mean_vs_rest,2.4111,3.1272,-0.2858,0.0626,0.725
3,last_season_avg,2.3556,3.0793,-0.2829,0.0425,0.5208
3,last_season_avg_home,2.3896,3.159,-0.2852,0.0376,
3,last_season_avg_away,2.3218,2.9977,-0.3101,0.04,0.9
3,last_season_avg_vs_top6,2.4309,3.1174,-0.4631,0.0424,
3,last_season_avg_vs_rest,2.3232,3.0627,-0.2334,0.0524,0.725
3,mlp,2.15,2.8283,-0.0823,0.0312,0.5208
3,mlp_home,2.2057,2.8769,-0.0659,0.0281,
3,mlp_away,2.0944,2.7792,-0.126,0.0272,0.9
3,mlp_vs_top6,1.8973,2.7086,-0.1046,-0.0474,
3,mlp_vs_rest,2.2588,2.8784,-0.0894,-0.0146,0.7083
3,minutes_model,2.134,2.7033,0.0113,0.124,0.5625
3,minutes_model_home,2.2106,2.794,-0.0054,0.0912,
3,minutes_model_away,2.0577,2.6099,0.007,0.1474,0.9
3,minutes_model_vs_top6,1.8948,2.5861,-0.0069,0.0491,
3,minutes_model_vs_rest,2.2371,2.7523,0.004,0.0739,0.7208
3,component_model,2.0974,3.131,-0.3264,0.1371,0.575
3,component_model_home,2.2418,3.2595,-0.3682,0.0682,
3,component_model_away,1.9536,2.9977,-0.3101,0.1502,0.9
3,component_model_vs_top6,2.0422,3.1277,-0.4728,0.0741,
3,component_model_vs_rest,2.1212,3.1325,-0.2902,0.0754,0.7333
3,poly_ridge,2.3043,3.0731,-0.2777,0.061,0.5375
3,poly_ridge_home,2.3778,3.1502,-0.278,0.0234,
3,poly_ridge_away,2.2312,2.9942,-0.3071,0.1077,0.9
3,poly_ridge_vs_top6,2.0169,3.0148,-0.3684,0.0801,
3,poly_ridge_vs_rest,2.4281,3.0978,-0.2618,-0.0061,0.7292
3,simple_avg,2.1676,2.718,0.0005,0.0776,0.5417
3,simple_avg_home,2.2323,2.7983,-0.0085,0.0496,
3,simple_avg_away,2.1032,2.6356,-0.0127,0.0941,0.9
3,simple_avg_vs_top6,1.9598,2.5908,-0.0105,0.0024,
3,simple_avg_vs_rest,2.2571,2.771,-0.0096,0.0239,0.7208
3,stacking,2.1633,2.7025,0.0119,0.1065,0.55
3,stacking_home,2.2266,2.7871,-0.0004,0.0483,
3,stacking_away,2.1002,2.6154,0.0027,0.1413,0.9
3,stacking_vs_top6,1.9914,2.5821,-0.0038,0.0488,
3,stacking_vs_rest,2.2373,2.7527,0.0037,0.0427,0.7292
3,blending,2.1359,2.7148,0.0028,0.1382,0.5667
3,blending_home,2.1979,2.804,-0.0126,0.1172,
3,blending_away,2.0742,2.6229,-0.003,0.1267,0.9
3,blending_vs_top6,2.0504,2.5969,-0.0154,0.0631,
3,blending_vs_rest,2.1728,2.764,-0.0045,0.1028,0.7208
